School_Name,Subject_Desc
Anglo-Chinese Junior College,H2 Art
Anglo-Chinese Junior College,H2 Biology
Anglo-Chinese Junior College,H2 Chemistry
Anglo-Chinese Junior College,H2 Chinese Language & Literature
Anglo-Chinese Junior College,H2 Economics
Anglo-Chinese Junior College,H2 Literature In English
Anglo-Chinese Junior College,H2 French Language
Anglo-Chinese Junior College,H2 Geography
Anglo-Chinese Junior College,H2 German Language
Anglo-Chinese Junior College,H2 History
Anglo-Chinese Junior College,H2 Japanese Language
Anglo-Chinese Junior College,H2 Knowledge & Inquiry
Anglo-Chinese Junior College,H2 Mathematics
Anglo-Chinese Junior College,H2 Malay Language & Literature
Anglo-Chinese Junior College,H2 Music
Anglo-Chinese Junior College,H2 Physics
Anglo-Chinese Junior College,H2 Tamil Language & Literature
Anglo-Chinese Junior College,H2 Theatre Studies And Drama
St. Andrew's Junior College,H1 China Studies In English
St. Andrew's Junior College,H1 Biology
St. Andrew's Junior College,H1 Chemistry
St. Andrew's Junior College,H1 Chinese Language
St. Andrew's Junior College,H1 Economics
St. Andrew's Junior College,H1 Literature In English
St. Andrew's Junior College,H1 Geography
St. Andrew's Junior College,H1 General Paper
St. Andrew's Junior College,H1 History
St. Andrew's Junior College,H1 Mathematics
St. Andrew's Junior College,H1 Malay Language
St. Andrew's Junior College,H1 Physics
St. Andrew's Junior College,H1 Project Work
St. Andrew's Junior College,H1 Tamil Language
St. Andrew's Junior College,H2 Art
St. Andrew's Junior College,H2 Biology
St. Andrew's Junior College,H2 Chemistry
St. Andrew's Junior College,H2 Chinese Language & Literature
St. Andrew's Junior College,H2 Economics
St. Andrew's Junior College,H2 Literature In English
St. Andrew's Junior College,H2 Further Mathematics
St. Andrew's Junior College,H2 Geography
St. Andrew's Junior College,H2 History
St. Andrew's Junior College,H2 Mathematics
St. Andrew's Junior College,H2 Physics
St. Andrew's Junior College,H2 Tamil Language & Literature
Nanyang Junior College,Co-Curricular Activities
Nanyang Junior College,Civics
Nanyang Junior College,H1 Art
Nanyang Junior College,H1 Biology
Nanyang Junior College,H1 Chemistry
Nanyang Junior College,H1 Chinese Language
Nanyang Junior College,H1 Economics
Nanyang Junior College,H1 Literature In English
Nanyang Junior College,H1 Geography
Nanyang Junior College,H1 General Paper
