School_Name,Alp_Domain,Alp_Title,Domain 1,Llp_Title1,Domain 2,Llp_Title2
Unity Secondary School,Stem,Inspire Through Scientific Innovation And Enterprise,Sports & Outdoor Education,Lead Through Outdoor And Sporting Adventures,Nil,Na
West Spring Secondary School,Languages & Humanities,Effective Communication And Critical Thinking Through Media Literacy,Sports & Outdoor Education,"Focus (Finding, Optimising, Communicating, Understanding Sports)",Nil,Na
Westwood Secondary School,Business & Entrepreneurship,Innovation & Social Entrepreneurship,Music & Performing Arts,Arts For Life (Afl),Nil,Na
Whitley Secondary School,Languages,Speech Communication Arts,Community & Youth Leadership,Active Citizenship For Social Change,Nil,Na
Woodgrove Secondary School,Stem,Materials Science For Sustainable Living,Community & Youth Leadership,Learners And Leaders For Life,Nil,Na
Woodlands Ring Secondary School,Stem,The Robotics Education & Enterprise (Tree),Community & Youth Leadership,Student Leadership Development Through Involvement In The Community Programme,Nil,Na
Woodlands Secondary School,Stem,"Real Food, Real Science",Community & Youth Leadership,Active Glocal Citizens Programme,Nil,Na
Yio Chu Kang Secondary School,Stem,Developing Inquiring Minds And Creative Learners Through Arduino,Music & Performing Arts,"Growing Character Leadership Through Arts, Media And Design",Nil,Na
Yishun Secondary School,Aesthetics,"Sonic Arts – Applied Learning In Music, Media And Technology",Community & Youth Leadership,Leadership For Life,Nil,Na
Yuan Ching Secondary School,Stem,Marine Architecture And Engineering,Sports & Outdoor Education,Dragonboat -- Growing Values: Mastering Core Dragon Boating Skills And Embracing The Values It Embodies,Nil,Na
Yuhua Secondary School,Business & Entrepreneurship,Integrated Events And Project Management,Music & Performing Arts,"Melody- Music Empowered Learners, Our Dynamic Yuhuans",Nil,Na
Yusof Ishak Secondary School,Stem,"Programme For Authentic Science, Technology And Environmental Learning",Music & Performing Arts / Visual Arts & Design,H2Earts In Tune Programme: History & Heritage Through Arts & Music Programme,Nil,Na
Yuying Secondary School,Business & Entrepreneurship,Fostering  Inventive And  Critical Thinking Through Design Thinking For Enterprising Learners,Community & Youth Leadership,Totally Wholesome Engaged And Empowered Teens (Tweets),Nil,Na
Zhenghua Secondary School,Stem,Game Design And Simulation And Robotics,Sports & Outdoor Education,Outdoor Education For Character & Leadership Development,Nil,Na
